BTC-Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Date,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Date,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,LTC-Date,LTC-Open,LTC-High,LTC-Low,LTC-Close,LTC-Adj Close,LTC-Volume
4/12/2015,360.309998,363.950012,354.309998,361.670013,361.670013,21820610,4/12/2015,0.83,0.84,0.8246,0.84,0.84,527,4/12/2015,0.000135,0.000135,0.000128,0.000128,0.000128,132,4/12/2015,3.35,3.38,3.3,3.33,3.33,310106
5/12/2015,361.670013,390.279999,361.5,386.690002,386.690002,43438102,5/12/2015,0.84,0.8699,0.8351,0.8699,0.8699,785,5/12/2015,0.000128,0.000135,0.000125,0.000125,0.000125,134,5/12/2015,3.33,3.53,3.33,3.48,3.48,984293
6/12/2015,386.690002,402.190002,382.619995,393.380005,393.380005,52068577,6/12/2015,0.8699,0.87,0.825,0.825,0.825,765,6/12/2015,0.000125,0.000132,0.000122,0.000122,0.000122,259,6/12/2015,3.48,3.58,3.38,3.44,3.44,1462477
7/12/2015,393.380005,398.73999,381.690002,394.279999,394.279999,38102878,7/12/2015,0.825,0.825,0.7829,0.79,0.79,1325,7/12/2015,0.000122,0.00013,0.000123,0.000124,0.000124,113,7/12/2015,3.44,3.64,3.37,3.56,3.56,1499939
8/12/2015,394.279999,411.070007,388.029999,410.670013,410.670013,29543120,8/12/2015,0.79,0.898,0.7796,0.8102,0.8102,5379,8/12/2015,0.000124,0.000131,0.000123,0.000125,0.000125,182,8/12/2015,3.56,3.64,3.48,3.63,3.63,622549
9/12/2015,410.670013,424.579987,403.26001,416,416,61289838,9/12/2015,0.8102,0.8533,0.761,0.8051,0.8051,7556,9/12/2015,0.000125,0.000144,0.000125,0.00014,0.00014,1145,9/12/2015,3.63,3.71,3.53,3.62,3.62,2013330
10/12/2015,416,420.359985,409.529999,415.48999,415.48999,29794270,10/12/2015,0.8051,0.8683,0.7797,0.8437,0.8437,5897,10/12/2015,0.00014,0.00014,0.00013,0.00013,0.00013,77,10/12/2015,3.62,3.66,3.54,3.63,3.63,711180
11/12/2015,415.48999,453.369995,413.720001,449.829987,449.829987,76433917,11/12/2015,0.8437,0.9,0.77,0.8998,0.8998,5965,11/12/2015,0.00013,0.00017,0.00013,0.00014,0.00014,598,11/12/2015,3.63,3.81,3.6,3.76,3.76,2114777
12/12/2015,449.829987,467.709991,403.690002,432.290009,432.290009,91838640,12/12/2015,0.8998,0.96,0.8998,0.96,0.96,5089,12/12/2015,0.00014,0.00016,0.000131,0.000131,0.000131,134,12/12/2015,3.76,3.91,3.44,3.54,3.54,2488966
13/12/2015,432.290009,440.970001,420.76001,434.690002,434.690002,27898250,13/12/2015,0.96,0.9749,0.8835,0.9199,0.9199,980,13/12/2015,0.000131,0.00014,0.000132,0.00014,0.00014,385,13/12/2015,3.54,3.58,3.46,3.54,3.54,247176
14/12/2015,434.690002,449.450012,428.839996,442,442,97068568,14/12/2015,0.9199,0.99,0.9628,0.99,0.99,4533,14/12/2015,0.00014,0.000141,0.00013,0.000139,0.000139,371,14/12/2015,3.54,3.59,3.5,3.55,3.55,344302
15/12/2015,442,464.230011,440.720001,462.649994,462.649994,48912227,15/12/2015,0.99,1,0.96,1,1,8124,15/12/2015,0.000139,0.00014,0.000133,0.00014,0.00014,25,15/12/2015,3.55,3.79,3.55,3.76,3.76,1381836
16/12/2015,462.649994,465.160004,437.369995,453.980011,453.980011,84336145,16/12/2015,1,1.1,0.8,0.803,0.803,5846,16/12/2015,0.00014,0.000139,0.000139,0.000139,0.000139,0,16/12/2015,3.76,3.79,3.55,3.63,3.63,1125346
17/12/2015,453.980011,458.440002,447.290009,455.529999,455.529999,29344348,17/12/2015,0.803,0.9701,0.803,0.94,0.94,576,17/12/2015,0.000164,0.000183,0.000163,0.000183,0.000183,6,17/12/2015,3.63,3.73,3.6,3.71,3.71,649234
18/12/2015,455.529999,466.119995,453.459991,463.179993,463.179993,38425211,18/12/2015,0.94,0.94,0.9,0.9,0.9,376,18/12/2015,0.000183,0.000183,0.000162,0.000175,0.000175,0,18/12/2015,3.71,3.78,3.67,3.73,3.73,508845
19/12/2015,463.179993,465.98999,452.329987,461.200012,461.200012,28327900,19/12/2015,0.9,0.9193,0.8935,0.8935,0.8935,2153,19/12/2015,0.000165,0.000175,0.000165,0.000165,0.000165,0,19/12/2015,3.73,3.77,3.63,3.7,3.7,339087
20/12/2015,461.200012,462.76001,431.100006,441.779999,441.779999,54316484,20/12/2015,0.8935,1.07,0.8935,1.07,1.07,1380,20/12/2015,0.000165,0.00017,0.000164,0.000164,0.000164,0,20/12/2015,3.7,3.7,3.43,3.51,3.51,971737
21/12/2015,441.779999,445.540009,423.98999,437.589996,437.589996,53270215,21/12/2015,1.07,1.07,0.91,0.91,0.91,2543,21/12/2015,0.000164,0.000171,0.000164,0.000164,0.000164,0,21/12/2015,3.51,3.52,3.38,3.41,3.41,704823
22/12/2015,437.589996,443.220001,433.25,437.029999,437.029999,28845536,22/12/2015,0.91,0.9999,0.88,0.88,0.88,6918,22/12/2015,0.000164,0.000173,0.000161,0.000161,0.000161,0,22/12/2015,3.41,3.45,3.37,3.39,3.39,262880
23/12/2015,437.029999,444.779999,434.279999,442.429993,442.429993,27877349,23/12/2015,0.88,0.9897,0.87,0.8709,0.8709,498,23/12/2015,0.000139,0.000136,0.000136,0.000136,0.000136,0,23/12/2015,3.39,3.58,3.39,3.55,3.55,643111
24/12/2015,442.429993,460.619995,441.76001,452.980011,452.980011,36096662,24/12/2015,0.8709,0.8899,0.85,0.87,0.87,1216,24/12/2015,0.000164,0.000175,0.000161,0.000175,0.000175,0,24/12/2015,3.55,3.66,3.55,3.61,3.61,630958
25/12/2015,452.980011,457.440002,449.519989,454.049988,454.049988,19251958,25/12/2015,0.87,0.88,0.8569,0.88,0.88,313,25/12/2015,0.000163,0.00017,0.00016,0.00016,0.00016,1,25/12/2015,3.61,3.65,3.54,3.59,3.59,329124
26/12/2015,454.049988,456.480011,400.450012,415.369995,415.369995,88564770,26/12/2015,0.88,1,0.85,0.853,0.853,2673,26/12/2015,0.000155,0.000169,0.000155,0.000167,0.000167,1,26/12/2015,3.59,3.6,3.33,3.4,3.4,1505410
27/12/2015,415.369995,425.51001,406.089996,422.390015,422.390015,28259303,27/12/2015,0.853,0.918,0.84,0.918,0.918,1168,27/12/2015,0.000168,0.00017,0.00016,0.00016,0.00016,1,27/12/2015,3.4,3.51,3.36,3.48,3.48,572216
28/12/2015,422.390015,429.850006,417.140015,421.76001,421.76001,28978639,28/12/2015,0.918,0.918,0.84,0.8749,0.8749,3616,28/12/2015,0.000136,0.000136,0.000135,0.000135,0.000135,0,28/12/2015,3.48,3.53,3.44,3.46,3.46,332179
29/12/2015,421.76001,433.559998,419.299988,431.920013,431.920013,30163445,29/12/2015,0.8749,0.89,0.8433,0.86,0.86,458,29/12/2015,0.000135,0.000136,0.000136,0.000136,0.000136,0,29/12/2015,3.46,3.53,3.42,3.5,3.5,595670
30/12/2015,431.920013,435.040009,420.769989,427.149994,427.149994,29289416,30/12/2015,0.86,0.929,0.86,0.8925,0.8925,3942,30/12/2015,0.000136,0.000135,0.000135,0.000135,0.000135,0,30/12/2015,3.5,3.52,3.42,3.46,3.46,332259
31/12/2015,427.149994,433.119995,417.140015,429.950012,429.950012,27758278,31/12/2015,0.8925,0.9666,0.8925,0.9488,0.9488,766,31/12/2015,0.000169,0.000181,0.000167,0.000181,0.000181,6,31/12/2015,3.46,3.49,3.39,3.47,3.47,327371
1/01/2016,429.950012,437.950012,425.859985,433.98999,433.98999,20334286,1/01/2016,0.9488,0.9488,0.9184,0.92,0.92,43,1/01/2016,0.000181,0.000181,0.00017,0.00018,0.00018,1,1/01/2016,3.47,3.52,3.44,3.49,3.49,234474
2/01/2016,433.98999,437.429993,430.730011,433.720001,433.720001,14566820,2/01/2016,0.92,0.9547,0.92,0.9547,0.9547,68,2/01/2016,0.00018,0.00018,0.000169,0.000169,0.000169,0,2/01/2016,3.49,3.51,3.43,3.49,3.49,183232
3/01/2016,433.720001,434.140015,423.089996,430.700012,430.700012,23490162,3/01/2016,0.9547,0.97,0.9506,0.96,0.96,485,3/01/2016,0.000169,0.000169,0.000168,0.000169,0.000169,1,3/01/2016,3.49,3.49,3.42,3.47,3.47,307436
4/01/2016,430.700012,435.26001,428.600006,433.320007,433.320007,22943968,4/01/2016,0.96,0.9644,0.9186,0.95,0.95,787,4/01/2016,0.000135,0.000149,0.000149,0.000149,0.000149,1,4/01/2016,3.47,3.5,3.45,3.49,3.49,269308
5/01/2016,433.320007,435.25,428.869995,431.200012,431.200012,19499588,5/01/2016,0.95,0.9599,0.9409,0.9426,0.9426,735,5/01/2016,0.000169,0.000177,0.000169,0.000177,0.000177,0,5/01/2016,3.49,3.49,3.44,3.46,3.46,209387
6/01/2016,431.200012,432.109985,425,430.820007,430.820007,18702334,6/01/2016,0.9426,0.952,0.9292,0.95,0.95,1053,6/01/2016,0.000177,0.000181,0.000171,0.000181,0.000181,1,6/01/2016,3.46,3.47,3.43,3.45,3.45,169065
7/01/2016,430.820007,457.540009,428.519989,457.049988,457.049988,58253615,7/01/2016,0.95,0.96,0.93,0.94,0.94,1618,7/01/2016,0.000181,0.000181,0.000171,0.000174,0.000174,0,7/01/2016,3.45,3.59,3.44,3.59,3.59,917686
8/01/2016,457.049988,462.920013,446.51001,452.869995,452.869995,41594025,8/01/2016,0.94,0.985,0.94,0.985,0.985,6900,8/01/2016,0.000174,0.000183,0.000171,0.000171,0.000171,4,8/01/2016,3.59,3.61,3.51,3.56,3.56,542810
9/01/2016,452.869995,454.549988,444.899994,448.309998,448.309998,17967113,9/01/2016,0.985,0.998,0.9654,0.985,0.985,3030,9/01/2016,0.000183,0.00021,0.000183,0.000192,0.000192,17,9/01/2016,3.56,3.57,3.52,3.54,3.54,341388
10/01/2016,448.309998,448.880005,438.619995,446.190002,446.190002,19778456,10/01/2016,0.985,1,0.9902,1,1,1681,10/01/2016,0.000202,0.00022,0.000179,0.000179,0.000179,0,10/01/2016,3.54,3.56,3.46,3.53,3.53,392514
11/01/2016,446.190002,451.079987,441.769989,447.720001,447.720001,25358480,11/01/2016,1,1.1,1,1.08,1.08,8945,11/01/2016,0.000179,0.00022,0.000179,0.00022,0.00022,0,11/01/2016,3.53,3.63,3.51,3.55,3.55,584237
12/01/2016,447.720001,448.410004,443.140015,445.040009,445.040009,19913400,12/01/2016,1.08,1.25,1.05,1.22,1.22,27407,12/01/2016,0.00022,0.00023,0.000205,0.00021,0.00021,0,12/01/2016,3.55,3.57,3.5,3.52,3.52,244206
13/01/2016,445.040009,443.720001,420.390015,432.179993,432.179993,39525195,13/01/2016,1.22,1.22,1.07,1.14,1.14,9029,13/01/2016,0.00021,0.000211,0.000195,0.00021,0.00021,3,13/01/2016,3.52,3.55,3.43,3.48,3.48,800956
14/01/2016,432.179993,433.73999,427.01001,429.130005,429.130005,19948730,14/01/2016,1.14,1.16,1.1,1.16,1.16,2056,14/01/2016,0.00021,0.00021,0.000183,0.000185,0.000185,0,14/01/2016,3.48,3.49,3.44,3.45,3.45,215301
15/01/2016,429.130005,430.149994,364.709991,372.26001,372.26001,107060613,15/01/2016,1.16,1.33,1.16,1.2,1.2,8843,15/01/2016,0.000185,0.000185,0.000185,0.000185,0.000185,2,15/01/2016,3.45,3.47,3.1,3.14,3.14,1852465
16/01/2016,372.26001,386.720001,350.390015,385.040009,385.040009,68297105,16/01/2016,1.2,1.32,1.2,1.22,1.22,8316,16/01/2016,0.00018,0.00018,0.000146,0.000175,0.000175,0,16/01/2016,3.14,3.15,2.89,3.06,3.06,1711579
17/01/2016,385.040009,390.720001,377.709991,382.470001,382.470001,25464382,17/01/2016,1.22,1.31,1.21,1.31,1.31,2321,17/01/2016,0.000175,0.000175,0.000161,0.000162,0.000162,2,17/01/2016,3.06,3.13,3.01,3.02,3.02,499580
18/01/2016,382.470001,387.290009,373.209991,384.399994,384.399994,26546465,18/01/2016,1.31,1.55,1.31,1.47,1.47,49371,18/01/2016,0.000149,0.000149,0.000149,0.000149,0.000149,0,18/01/2016,3.02,3.06,2.95,3.04,3.04,678148
19/01/2016,384.399994,386.690002,375.890015,379.459991,379.459991,25417876,19/01/2016,1.47,1.47,1.22,1.22,1.22,4079,19/01/2016,0.000162,0.000162,0.000156,0.000156,0.000156,2,19/01/2016,3.04,3.05,2.97,3.02,3.02,343880
20/01/2016,379.459991,425.720001,374.049988,414.579987,414.579987,76873917,20/01/2016,1.22,1.61,1.22,1.54,1.54,7820,20/01/2016,0.000144,0.00016,0.000142,0.00016,0.00016,2,20/01/2016,3.02,3.44,2.96,3.36,3.36,1549233
21/01/2016,414.579987,423.420013,403.859985,410.23999,410.23999,37264942,21/01/2016,1.54,1.61,1.4,1.54,1.54,39665,21/01/2016,0.00016,0.00016,0.00015,0.00016,0.00016,1,21/01/2016,3.36,3.41,3.13,3.22,3.22,902528
22/01/2016,410.23999,411.48999,374.899994,382.649994,382.649994,56548790,22/01/2016,1.54,1.66,1.42,1.52,1.52,11707,22/01/2016,0.00016,0.00017,0.00016,0.00017,0.00017,7,22/01/2016,3.22,3.24,3.04,3.08,3.08,789895
23/01/2016,382.649994,395.429993,380.269989,388.609985,388.609985,23908533,23/01/2016,1.52,2.03,1.39,2.03,2.03,50006,23/01/2016,0.00018,0.00018,0.000165,0.000165,0.000165,0,23/01/2016,3.08,3.17,3.06,3.11,3.11,407628
24/01/2016,388.609985,405.399994,385.529999,402.130005,402.130005,25770175,24/01/2016,2.03,2.3,1.1,2.1,2.1,130458,24/01/2016,0.000149,0.000167,0.000149,0.000167,0.000167,7,24/01/2016,3.11,3.22,3.07,3.17,3.17,329817
25/01/2016,402.130005,403.779999,386.850006,392.76001,392.76001,26793044,25/01/2016,2.1,2.88,2.05,2.5,2.5,52226,25/01/2016,0.00019,0.000219,0.00019,0.000215,0.000215,12,25/01/2016,3.17,3.18,3.09,3.12,3.12,345043
26/01/2016,392.76001,397.73999,387.899994,389.779999,389.779999,22384754,26/01/2016,2.5,2.8,2.25,2.3,2.3,117514,26/01/2016,0.000167,0.000198,0.000194,0.000198,0.000198,10,26/01/2016,3.12,3.18,3.09,3.13,3.13,214504
27/01/2016,389.779999,397.369995,389.350006,395.019989,395.019989,17297117,27/01/2016,2.3,2.8,1.88,2.42,2.42,39261,27/01/2016,0.000198,0.000212,0.000198,0.000212,0.000212,7,27/01/2016,3.13,3.32,3.12,3.28,3.28,689955
28/01/2016,395.019989,395.420013,376.709991,379.690002,379.690002,29717813,28/01/2016,2.42,2.61,2.24,2.55,2.55,15510,28/01/2016,0.000538,0.000538,0.00025,0.00045,0.00045,0,28/01/2016,3.28,3.29,3.07,3.08,3.08,455758
29/01/2016,379.690002,385.75,363.48999,380.290009,380.290009,51927041,29/01/2016,2.55,2.61,2.21,2.41,2.41,67942,29/01/2016,0.00035,0.00045,0.00035,0.00045,0.00045,0,29/01/2016,3.08,3.13,3.02,3.1,3.1,468161
30/01/2016,380.290009,381.75,375.040009,377.76001,377.76001,13720656,30/01/2016,2.41,2.6,2.37,2.44,2.44,8531,30/01/2016,0.000349,0.000349,0.0003,0.0003,0.0003,0,30/01/2016,3.1,3.11,3.04,3.06,3.06,161823
31/01/2016,377.76001,380.540009,366.880005,369.839996,369.839996,14718855,31/01/2016,2.44,2.54,2.2,2.2,2.2,39324,31/01/2016,0.00029,0.0003,0.00029,0.0003,0.0003,0,31/01/2016,3.06,3.11,3.04,3.06,3.06,150133
1/02/2016,369.839996,379.779999,365.269989,372.179993,372.179993,27728088,1/02/2016,2.2,2.32,2,2.17,2.17,27808,1/02/2016,0.000289,0.000289,0.000168,0.000168,0.000168,0,1/02/2016,3.06,3.11,3.02,3.07,3.07,249117
2/02/2016,372.179993,376.630005,371.399994,373.920013,373.920013,19123252,2/02/2016,2.17,2.45,2.12,2.45,2.45,20326,2/02/2016,0.000279,0.00028,0.000279,0.00028,0.00028,2,2/02/2016,3.07,3.1,3.05,3.07,3.07,161779
3/02/2016,373.920013,375.890015,366.200012,368.019989,368.019989,22266682,3/02/2016,2.45,2.54,2.3,2.53,2.53,16849,3/02/2016,0.00028,0.00028,0.000171,0.000278,0.000278,0,3/02/2016,3.07,3.1,3,3.04,3.04,237226
4/02/2016,368.019989,391.829987,368.049988,390.649994,390.649994,38961905,4/02/2016,2.53,2.79,2.5,2.57,2.57,37881,4/02/2016,0.000212,0.000912,0.000145,0.000912,0.000912,6,4/02/2016,3.04,3.19,3.03,3.14,3.14,455976
5/02/2016,390.649994,391.149994,384.480011,386.459991,386.459991,23688228,5/02/2016,2.57,2.59,2.47,2.56,2.56,26847,5/02/2016,0.00021,0.000348,0.000173,0.000348,0.000348,24,5/02/2016,3.14,3.16,3.07,3.13,3.13,177114
6/02/2016,386.459991,386.350006,372.869995,376.679993,376.679993,29801286,6/02/2016,2.56,2.57,2.48,2.53,2.53,14564,6/02/2016,0.0003,0.000346,0.0003,0.000346,0.000346,0,6/02/2016,3.13,3.17,3.06,3.09,3.09,375727
7/02/2016,376.679993,382.609985,375.279999,377.940002,377.940002,15395728,7/02/2016,2.53,3,2.51,3,3,50607,7/02/2016,0.000346,0.000346,0.000346,0.000346,0.000346,0,7/02/2016,3.09,3.13,3.06,3.09,3.09,179472
8/02/2016,377.940002,380.920013,372.100006,372.630005,372.630005,23424062,8/02/2016,3,3.24,2.75,3.16,3.16,68693,8/02/2016,0.000299,0.000328,0.00028,0.000328,0.000328,9,8/02/2016,3.09,3.11,3.05,3.06,3.06,187126
9/02/2016,372.630005,377.589996,371.420013,375.320007,375.320007,20801701,9/02/2016,3.16,3.97,3.14,3.76,3.76,112281,9/02/2016,0.000912,0.000512,0.000512,0.000512,0.000512,0,9/02/2016,3.06,3.09,3.04,3.08,3.08,173971
10/02/2016,375.320007,385.380005,374.089996,381.880005,381.880005,37137791,10/02/2016,3.76,4.98,3.5,4.35,4.35,420132,10/02/2016,0.000309,0.000329,0.000309,0.000329,0.000329,7,10/02/2016,3.08,3.13,3.05,3.1,3.1,247212
11/02/2016,381.880005,383.230011,372.75,379.450012,379.450012,23858467,11/02/2016,4.35,6.38,3.44,6.38,6.38,237406,11/02/2016,0.000512,0.000145,0.000145,0.000145,0.000145,0,11/02/2016,3.1,3.11,3.02,3.04,3.04,201884
12/02/2016,379.450012,386.399994,379.320007,384.040009,384.040009,20685663,12/02/2016,6.38,6.47,5.05,5.27,5.27,329698,12/02/2016,0.000145,0.000512,0.000512,0.000512,0.000512,0,12/02/2016,3.04,3.12,3.05,3.09,3.09,131886
13/02/2016,384.040009,392.570007,383.309998,390.100006,390.100006,18757146,13/02/2016,5.27,5.8,4.07,5.22,5.22,309173,13/02/2016,0.000512,0.000512,0.000512,0.000512,0.000512,14,13/02/2016,3.09,3.14,3.09,3.12,3.12,228949
14/02/2016,390.100006,405.929993,390.059998,405.5,405.5,29442484,14/02/2016,5.22,5.41,4.5,5.2,5.2,105581,14/02/2016,0.00032,0.00032,0.00032,0.00032,0.00032,0,14/02/2016,3.12,3.2,3.11,3.19,3.19,306615
15/02/2016,405.5,410.850006,396.559998,401.070007,401.070007,34862753,15/02/2016,5.2,5.98,4.5,5.22,5.22,157021,15/02/2016,0.0003,0.00031,0.0003,0.00031,0.00031,0,15/02/2016,3.19,3.22,3.13,3.14,3.14,284556
16/02/2016,401.070007,409.75,398,406.420013,406.420013,27726590,16/02/2016,5.22,5.44,4,4.25,4.25,149224,16/02/2016,0.00031,0.000319,0.00031,0.000319,0.000319,6,16/02/2016,3.14,3.23,3.09,3.18,3.18,248410
17/02/2016,406.420013,421.450012,405.049988,417.140015,417.140015,37559686,17/02/2016,4.25,4.78,3.5,3.86,3.86,194919,17/02/2016,0.000319,0.000319,0.0003,0.000315,0.000315,5,17/02/2016,3.18,3.26,3.01,3.23,3.23,484331
18/02/2016,417.140015,425.51001,414.779999,421.399994,421.399994,32541108,18/02/2016,3.86,4.75,3.32,4.36,4.36,160004,18/02/2016,0.000314,0.000314,0.000271,0.000314,0.000314,3,18/02/2016,3.23,3.27,3.18,3.23,3.23,314637
19/02/2016,421.399994,424.26001,416.359985,419.980011,419.980011,21991480,19/02/2016,4.36,4.75,4.06,4.45,4.45,67845,19/02/2016,0.000314,0.000314,0.000299,0.000299,0.000299,12,19/02/2016,3.23,3.27,3.19,3.23,3.23,270050
20/02/2016,419.980011,442.660004,419.48999,440.059998,440.059998,48500793,20/02/2016,4.45,4.72,4.01,4.37,4.37,59998,20/02/2016,0.000299,0.0003,0.000285,0.0003,0.0003,4,20/02/2016,3.23,3.6,3.21,3.42,3.42,1006708
21/02/2016,440.059998,447.609985,425.470001,437.869995,437.869995,44120520,21/02/2016,4.37,4.63,4,4.63,4.63,96725,21/02/2016,0.0003,0.0003,0.00029,0.0003,0.0003,8,21/02/2016,3.42,3.54,3.29,3.41,3.41,852991
22/02/2016,437.869995,440.179993,431.299988,437.790009,437.790009,24563748,22/02/2016,4.63,5.84,4.5,5.6,5.6,184739,22/02/2016,0.0003,0.0003,0.00027,0.00028,0.00028,1,22/02/2016,3.41,3.5,3.37,3.45,3.45,397042
23/02/2016,437.790009,440.76001,414.359985,419.899994,419.899994,39915706,23/02/2016,5.6,6,5.32,5.7,5.7,167226,23/02/2016,0.000299,0.000299,0.000298,0.000298,0.000298,3,23/02/2016,3.45,3.51,3.31,3.38,3.38,485781
24/02/2016,419.899994,425.170013,410.359985,422.720001,422.720001,28041199,24/02/2016,5.7,6.5,5.51,6.23,6.23,203972,24/02/2016,0.000299,0.000299,0.000299,0.000299,0.000299,3,24/02/2016,3.38,3.41,3.29,3.35,3.35,284141
25/02/2016,422.720001,427.179993,417.51001,423.480011,423.480011,22692099,25/02/2016,6.23,6.64,5.55,5.93,5.93,301845,25/02/2016,0.000281,0.000281,0.000281,0.000281,0.000281,0,25/02/2016,3.35,3.4,3.3,3.35,3.35,196742
26/02/2016,423.480011,427.579987,419.109985,427.320007,427.320007,22642013,26/02/2016,5.93,6.29,5.71,6.03,6.03,94076,26/02/2016,0.000298,0.000298,0.00026,0.000279,0.000279,0,26/02/2016,3.35,3.39,3.27,3.38,3.38,292657
27/02/2016,427.320007,434.140015,427.299988,431.299988,431.299988,18543436,27/02/2016,6.03,6.5,5.75,6.31,6.31,190116,27/02/2016,0.000512,0.000511,0.000511,0.000511,0.000511,7,27/02/2016,3.38,3.42,3.34,3.38,3.38,238869
28/02/2016,431.299988,435.619995,421.220001,432.470001,432.470001,21876091,28/02/2016,6.31,6.54,6.15,6.5,6.5,88226,28/02/2016,0.00026,0.00026,0.00026,0.00026,0.00026,0,28/02/2016,3.38,3.47,3.32,3.4,3.4,306215
29/02/2016,432.470001,441.320007,429.829987,436.209991,436.209991,30077319,29/02/2016,6.5,6.62,6,6.35,6.35,104433,29/02/2016,0.00025,0.000295,0.00025,0.000295,0.000295,0,29/02/2016,3.4,3.48,3.38,3.4,3.4,387755
1/03/2016,436.209991,439.019989,428.48999,434.040009,434.040009,29312670,1/03/2016,6.35,7.6,6.25,7.59,7.59,429220,1/03/2016,0.000511,0.00051,0.00051,0.00051,0.00051,0,1/03/2016,3.4,3.45,3.36,3.41,3.41,274773
2/03/2016,434.040009,435.910004,423.850006,425.359985,425.359985,24894311,2/03/2016,7.59,9.9,7.04,8.7,8.7,467357,2/03/2016,0.00051,0.000145,0.000145,0.000145,0.000145,0,2/03/2016,3.41,3.42,3.33,3.36,3.36,247684
3/03/2016,425.359985,425.829987,414.940002,419.559998,419.559998,33188751,3/03/2016,8.7,9.94,8.3,9.35,9.35,862559,3/03/2016,0.000145,0.000249,0.000237,0.000237,0.000237,443,3/03/2016,3.36,3.38,3.28,3.31,3.31,457912
4/03/2016,419.559998,423.390015,407.200012,409.480011,409.480011,31416610,4/03/2016,9.35,9.96,8.27,9.96,9.96,908225,4/03/2016,0.000237,0.000251,0.000237,0.000238,0.000238,946,4/03/2016,3.31,3.34,3.2,3.23,3.23,389892
5/03/2016,409.480011,410.059998,386.929993,399,399,51725937,5/03/2016,9.96,12,9.75,11,11,1726260,5/03/2016,0.000238,0.000238,0.000213,0.000219,0.000219,2122,5/03/2016,3.23,3.25,3.1,3.18,3.18,491855
6/03/2016,399,412.019989,393.089996,405.959991,405.959991,25324456,6/03/2016,11,11.9,9.75,10.98,10.98,845841,6/03/2016,0.000219,0.000242,0.00021,0.000218,0.000218,1381,6/03/2016,3.18,3.25,3.13,3.2,3.2,278927
7/03/2016,405.959991,416.579987,401.980011,414.869995,414.869995,25349627,7/03/2016,10.98,11.47,9.06,9.5,9.5,732233,7/03/2016,0.000218,0.000233,0.000216,0.000228,0.000228,373,7/03/2016,3.2,3.26,3.16,3.24,3.24,272929
8/03/2016,414.869995,416.720001,408.420013,411.899994,411.899994,22204517,8/03/2016,9.5,10.89,8.49,9.88,9.88,592001,8/03/2016,0.000228,0.00023,0.000216,0.000218,0.000218,756,8/03/2016,3.24,3.25,3.18,3.22,3.22,233651
9/03/2016,411.899994,414.880005,408.940002,412.76001,412.76001,21035428,9/03/2016,9.88,12,9.6,11.55,11.55,568223,9/03/2016,0.000218,0.000233,0.000208,0.000225,0.000225,658,9/03/2016,3.22,3.34,3.19,3.25,3.25,387204
10/03/2016,412.76001,417.480011,410.269989,415.829987,415.829987,23114636,10/03/2016,11.55,12.05,10.25,11.11,11.11,749105,10/03/2016,0.000225,0.000245,0.00022,0.00024,0.00024,676,10/03/2016,3.25,3.29,3.22,3.27,3.27,186866
11/03/2016,415.829987,422.399994,415.109985,419.109985,419.109985,25469781,11/03/2016,11.11,11.62,10.4,11.25,11.25,332692,11/03/2016,0.00024,0.000245,0.000232,0.000244,0.000244,595,11/03/2016,3.27,3.38,3.26,3.35,3.35,402611
12/03/2016,419.109985,420.670013,407.029999,410.359985,410.359985,24660321,12/03/2016,11.25,13.48,11.03,13.25,13.25,1669862,12/03/2016,0.000244,0.000244,0.000234,0.00024,0.00024,650,12/03/2016,3.35,3.37,3.24,3.28,3.28,197732
13/03/2016,410.359985,415.929993,409.570007,412.410004,412.410004,14457108,13/03/2016,13.25,15.18,12,15,15,1539173,13/03/2016,0.00024,0.000245,0.000233,0.000236,0.000236,779,13/03/2016,3.28,3.32,3.25,3.28,3.28,136688
14/03/2016,412.410004,416.079987,411.190002,414.309998,414.309998,20471909,14/03/2016,15,15,10.5,12.5,12.5,1909296,14/03/2016,0.000236,0.000242,0.000236,0.000238,0.000238,474,14/03/2016,3.28,3.32,3.26,3.29,3.29,174412
15/03/2016,414.309998,417.369995,412.309998,415.130005,415.130005,20227610,15/03/2016,12.5,13.45,10,13.09,13.09,978794,15/03/2016,0.000238,0.000243,0.000216,0.000237,0.000237,1302,15/03/2016,3.29,3.31,3.22,3.29,3.29,176778
16/03/2016,415.130005,416.950012,413.320007,415.910004,415.910004,18509954,16/03/2016,13.09,13.75,12.8,12.92,12.92,593048,16/03/2016,0.000237,0.000237,0.000227,0.000227,0.000227,590,16/03/2016,3.29,3.32,3.26,3.29,3.29,123799
17/03/2016,415.910004,419.559998,415.329987,418.160004,418.160004,18409340,17/03/2016,12.92,13,10.2,11.14,11.14,1442272,17/03/2016,0.000227,0.000235,0.000221,0.000221,0.000221,441,17/03/2016,3.29,3.32,3.26,3.28,3.28,205502
18/03/2016,418.160004,418.579987,402.480011,408.160004,408.160004,27178165,18/03/2016,11.14,11.47,8.09,10.75,10.75,1629668,18/03/2016,0.00023,0.00024,0.000212,0.00024,0.00024,1,18/03/2016,3.28,3.29,3.13,3.16,3.16,610599
